,PopulationChange,YearlyChange,NetChange,Density(P/Km?),Land Area(Km?),Migrants(net),Fert.Rate,Med.Age,UrbanPop %,WorldShare
Sao Tome & Principe,219159.00 ,0.019100000 ,4103.00 ,228.00 ,960.00 ,-1680.00 ,4.40 ,19.00 ,0.74 ,0.00 
Samoa,198414.00 ,0.006700000 ,1317.00 ,70.00 ,2830.00 ,-2803.00 ,3.90 ,22.00 ,0.18 ,0.00 
Saint Lucia,183627.00 ,0.004600000 ,837.00 ,301.00 ,610.00 ,0.00 ,1.40 ,34.00 ,0.19 ,0.00 
Channel Islands,173863.00 ,0.009300000 ,1604.00 ,915.00 ,190.00 ,1351.00 ,1.50 ,43.00 ,0.30 ,0.00 
Guam,168775.00 ,0.008900000 ,1481.00 ,313.00 ,540.00 ,-506.00 ,2.30 ,31.00 ,0.95 ,0.00 
Cura?ao,164093.00 ,0.004100000 ,669.00 ,370.00 ,444.00 ,515.00 ,1.80 ,42.00 ,0.89 ,0.00 
Kiribati,119449.00 ,0.015700000 ,1843.00 ,147.00 ,810.00 ,-800.00 ,3.60 ,23.00 ,0.57 ,0.00 
Grenada,112523.00 ,0.004600000 ,520.00 ,331.00 ,340.00 ,-200.00 ,2.10 ,32.00 ,0.35 ,0.00 
St. Vincent & Grenadines,110940.00 ,0.003200000 ,351.00 ,284.00 ,390.00 ,-200.00 ,1.90 ,33.00 ,0.53 ,0.00 
Aruba,106766.00 ,0.004300000 ,452.00 ,593.00 ,180.00 ,201.00 ,1.90 ,41.00 ,0.44 ,0.00 
Tonga,105695.00 ,0.011500000 ,1201.00 ,147.00 ,720.00 ,-800.00 ,3.60 ,22.00 ,0.24 ,0.00 
U.S. Virgin Islands,104425.00 ,-0.001500000 ,-153.00 ,298.00 ,350.00 ,-451.00 ,2.00 ,43.00 ,0.96 ,0.00 
Seychelles,98347.00 ,0.006200000 ,608.00 ,214.00 ,460.00 ,-200.00 ,2.50 ,34.00 ,0.56 ,0.00 
Antigua and Barbuda,97929.00 ,0.008400000 ,811.00 ,223.00 ,440.00 ,0.00 ,2.00 ,34.00 ,0.26 ,0.00 
Isle of Man,85033.00 ,0.005300000 ,449.00 ,149.00 ,570.00 ,,N.A.,N.A.,0.53 ,0.00 
Andorra,77265.00 ,0.001600000 ,123.00 ,164.00 ,470.00 ,,N.A.,N.A.,0.88 ,0.00 
Dominica,71986.00 ,0.002500000 ,178.00 ,96.00 ,750.00 ,,N.A.,N.A.,0.74 ,0.00 
Cayman Islands,65722.00 ,0.011900000 ,774.00 ,274.00 ,240.00 ,,N.A.,N.A.,0.97 ,0.00 
Bermuda,62278.00 ,-0.003600000 ,-228.00 ,1246.00 ,50.00 ,,N.A.,N.A.,0.97 ,0.00 
Marshall Islands,59190.00 ,0.006800000 ,399.00 ,329.00 ,180.00 ,,N.A.,N.A.,0.70 ,0.00 
Northern Mariana Islands,57559.00 ,0.006000000 ,343.00 ,125.00 ,460.00 ,,N.A.,N.A.,0.88 ,0.00 
Greenland,56770.00 ,0.001700000 ,98.00 ,0.00 ,410450.00 ,,N.A.,N.A.,0.87 ,0.00 
American Samoa,55191.00 ,-0.002200000 ,-121.00 ,276.00 ,200.00 ,,N.A.,N.A.,0.88 ,0.00 
Saint Kitts & Nevis,53199.00 ,0.007100000 ,376.00 ,205.00 ,260.00 ,,N.A.,N.A.,0.33 ,0.00 
Faeroe Islands,48863.00 ,0.003800000 ,185.00 ,35.00 ,1396.00 ,,N.A.,N.A.,0.43 ,0.00 
Sint Maarten,42876.00 ,0.011500000 ,488.00 ,1261.00 ,34.00 ,,N.A.,N.A.,0.96 ,0.00 
Monaco,39242.00 ,0.007100000 ,278.00 ,26337.00 ,1.00 ,,N.A.,N.A.,N.A.,0.00 
Turks and Caicos,38717.00 ,0.013800000 ,526.00 ,41.00 ,950.00 ,,N.A.,N.A.,0.89 ,0.00 
Saint Martin,38666.00 ,0.017500000 ,664.00 ,730.00 ,53.00 ,,N.A.,N.A.,0.00 ,0.00 
Liechtenstein,38128.00 ,0.002900000 ,109.00 ,238.00 ,160.00 ,,N.A.,N.A.,0.15 ,0.00 
San Marino,33931.00 ,0.002100000 ,71.00 ,566.00 ,60.00 ,,N.A.,N.A.,0.97 ,0.00 
Gibraltar,33691.00 ,-0.000300000 ,-10.00 ,3369.00 ,10.00 ,,N.A.,N.A.,N.A.,0.00 
British Virgin Islands,30231.00 ,0.006700000 ,201.00 ,202.00 ,150.00 ,,N.A.,N.A.,0.52 ,0.00 
Caribbean Netherlands,26223.00 ,0.009400000 ,244.00 ,80.00 ,328.00 ,,N.A.,N.A.,0.75 ,0.00 
Palau,18094.00 ,0.004800000 ,86.00 ,39.00 ,460.00 ,,N.A.,N.A.,N.A.,0.00 
Cook Islands,17564.00 ,0.000900000 ,16.00 ,73.00 ,240.00 ,,N.A.,N.A.,0.75 ,0.00 
Anguilla,15003.00 ,0.009000000 ,134.00 ,167.00 ,90.00 ,,N.A.,N.A.,N.A.,0.00 
Tuvalu,11792.00 ,0.012500000 ,146.00 ,393.00 ,30.00 ,,N.A.,N.A.,0.62 ,0.00 
Wallis & Futuna,11239.00 ,-0.016900000 ,-193.00 ,80.00 ,140.00 ,,N.A.,N.A.,0.00 ,0.00 
Nauru,10824.00 ,0.006300000 ,68.00 ,541.00 ,20.00 ,,N.A.,N.A.,N.A.,0.00 
Saint Barthelemy,9877.00 ,0.003000000 ,30.00 ,470.00 ,21.00 ,,N.A.,N.A.,0.00 ,0.00 
Saint Helena,6077.00 ,0.003000000 ,18.00 ,16.00 ,390.00 ,,N.A.,N.A.,0.27 ,0.00 
Saint Pierre & Miquelon,5794.00 ,-0.004800000 ,-28.00 ,25.00 ,230.00 ,,N.A.,N.A.,1.00 ,0.00 
Montserrat,4992.00 ,0.000600000 ,3.00 ,50.00 ,100.00 ,,N.A.,N.A.,0.10 ,0.00 
Falkland Islands,3480.00 ,0.030500000 ,103.00 ,0.00 ,12170.00 ,,N.A.,N.A.,0.66 ,0.00 
Niue,1626.00 ,0.006800000 ,11.00 ,6.00 ,260.00 ,,N.A.,N.A.,0.46 ,0.00 
Tokelau,1357.00 ,0.012700000 ,17.00 ,136.00 ,10.00 ,,N.A.,N.A.,0.00 ,0.00 
Holy See,801.00 ,0.002500000 ,2.00 ,2003.00 ,0.00 ,,N.A.,N.A.,N.A.,0.00 
